Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-07,111.109,112.136,110.492,111.814,2413169,0.0,0.0
2019-06-10,112.821,114.237,112.66,112.942,2700090,0.0,0.0
2019-06-11,114.029,114.331,113.082,113.358,2663731,0.0,0.0
2019-06-12,114.002,114.19,113.143,113.425,2591014,0.0,0.0
2019-06-13,113.66,114.022,112.66,113.317,2561234,0.0,0.0
2019-06-14,112.908,112.915,111.438,111.868,3252163,0.0,0.0
2019-06-17,112.143,112.364,111.713,111.928,2132827,0.0,0.0
2019-06-18,112.646,115.613,112.458,115.337,4333108,0.0,0.0
2019-06-19,115.351,115.975,114.451,114.592,3321770,0.0,0.0
2019-06-20,116.015,116.961,115.23,116.733,3664783,0.0,0.0
2019-06-21,116.606,117.149,115.854,116.337,5837437,0.0,0.0
2019-06-24,116.337,117.002,116.331,116.357,3243432,0.0,0.0
2019-06-25,116.27,116.364,114.948,115.451,3268907,0.0,0.0
2019-06-26,115.666,116.263,115.243,115.351,2167391,0.0,0.0
2019-06-27,115.774,115.962,114.525,115.096,2055326,0.0,0.0
2019-06-28,115.331,117.022,115.277,116.331,4306557,0.0,0.0
2019-07-01,117.753,117.968,116.451,117.116,2519613,0.0,0.0
2019-07-02,117.512,117.512,116.149,116.787,1860258,0.0,0.0
2019-07-03,116.888,117.472,116.055,117.431,1400157,0.0,0.0
2019-07-05,116.102,116.29,113.908,115.431,2081638,0.0,0.0
2019-07-08,114.035,114.411,113.264,113.545,2733219,0.0,0.0
2019-07-09,111.955,112.378,110.257,111.203,5425176,0.0,0.0
2019-07-10,111.532,112.291,111.116,111.203,3183393,0.0,0.0
2019-07-11,111.606,113.478,111.317,113.445,3366501,0.0,0.0
2019-07-12,114.156,116.344,113.586,116.331,3780197,0.0,0.0
2019-07-15,116.357,116.941,114.901,115.995,2616250,0.0,0.0
2019-07-16,115.935,118.955,115.915,118.445,4687004,0.0,0.0
2019-07-17,118.351,118.445,116.841,117.223,3525090,0.0,0.0
2019-07-18,117.055,117.539,115.7,116.143,2657273,0.0,0.0
2019-07-19,116.109,116.767,115.572,115.841,2822919,0.0,0.0
2019-07-22,115.975,117.586,115.519,117.203,2397262,0.0,0.0
2019-07-23,118.116,119.471,117.881,119.136,2823397,0.0,0.0
2019-07-24,118.74,120.995,118.29,120.411,4224631,0.0,0.0
2019-07-25,125.505,125.981,118.559,119.545,8804952,0.0,0.0
2019-07-26,119.21,119.72,114.472,116.76,4803256,0.0,0.0
2019-07-29,116.659,119.203,116.545,118.626,3156124,0.0,0.0
2019-07-30,117.888,119.33,116.639,119.21,2366764,0.0,0.0
2019-07-31,119.223,119.471,116.371,117.257,3606897,0.0,0.0
2019-08-01,117.304,119.237,116.123,116.344,2847915,0.0,0.0
2019-08-02,116.008,116.049,113.962,114.458,2898028,0.0,0.0
2019-08-05,113.384,113.431,110.344,110.539,3462061,0.0,0.0
2019-08-06,110.613,111.056,109.324,109.868,4179781,0.0,0.0
2019-08-07,108.72,110.029,106.063,109.821,7167867,0.0,0.0
2019-08-08,110.311,111.062,109.76,110.21,3899080,0.0,0.0
2019-08-09,110.425,110.566,108.74,109.707,1892192,0.0,0.0
2019-08-12,109.405,110.586,108.418,108.787,1762665,0.0,0.0
2019-08-13,109.096,112.666,108.821,110.653,3880542,0.0,0.0
2019-08-14,109.056,109.304,106.485,106.579,4851096,0.0,0.0
